book_id,position,token_length,char_length,genre,author,title,source_file
2572a530-35cb-423a-9baa-7d0447a98964,969,619,1979,,Unknown,"Устав ратных, пушечных и других дел, касающихся до воинской науки 1607, 1777",2572a530-35cb-423a-9baa-7d0447a98964.jsonl
2572a530-35cb-423a-9baa-7d0447a98964,1083,622,2097,,Unknown,"Устав ратных, пушечных и других дел, касающихся до воинской науки 1607, 1777",2572a530-35cb-423a-9baa-7d0447a98964.jsonl
2572a530-35cb-423a-9baa-7d0447a98964,1308,612,1872,,Unknown,"Устав ратных, пушечных и других дел, касающихся до воинской науки 1607, 1777",2572a530-35cb-423a-9baa-7d0447a98964.jsonl
2572a530-35cb-423a-9baa-7d0447a98964,1868,514,1488,,Unknown,"Устав ратных, пушечных и других дел, касающихся до воинской науки 1607, 1777",2572a530-35cb-423a-9baa-7d0447a98964.jsonl
594a83ef-2f54-4231-89a3-929d5387ce31,4399,1264,5776,,Unknown,Группа авторов. 17-я воздушная армия в боях от Сталинграда до Вены,594a83ef-2f54-4231-89a3-929d5387ce31.jsonl
594a83ef-2f54-4231-89a3-929d5387ce31,9151,1264,5776,,Unknown,Группа авторов. 17-я воздушная армия в боях от Сталинграда до Вены,594a83ef-2f54-4231-89a3-929d5387ce31.jsonl
0648ad8c-b86f-4a12-ae06-d2ea929e1ab1,15266,630,1628,,Unknown,Trial of the major war criminals before the International Military Tribunal Nuremberg 1945–1946. Том 33,0648ad8c-b86f-4a12-ae06-d2ea929e1ab1.jsonl
0648ad8c-b86f-4a12-ae06-d2ea929e1ab1,15269,541,1417,,Unknown,Trial of the major war criminals before the International Military Tribunal Nuremberg 1945–1946. Том 33,0648ad8c-b86f-4a12-ae06-d2ea929e1ab1.jsonl
351c2b6f-4206-4698-b843-4f374bd8a52c,7233,718,2564,,Валецкий Олег,Минное оружие вопросы минирования и разминирования,351c2b6f-4206-4698-b843-4f374bd8a52c.jsonl
73508003-72b5-431b-b3f3-822359bc927c,8032,657,3023,,Unknown,"Корольченко А.Ф. Освобождение Вены роман-хроника, 2005",73508003-72b5-431b-b3f3-822359bc927c.jsonl
73508003-72b5-431b-b3f3-822359bc927c,8118,741,3500,,Unknown,"Корольченко А.Ф. Освобождение Вены роман-хроника, 2005",73508003-72b5-431b-b3f3-822359bc927c.jsonl
73508003-72b5-431b-b3f3-822359bc927c,8241,671,3099,,Unknown,"Корольченко А.Ф. Освобождение Вены роман-хроника, 2005",73508003-72b5-431b-b3f3-822359bc927c.jsonl
73508003-72b5-431b-b3f3-822359bc927c,8254,627,3045,,Unknown,"Корольченко А.Ф. Освобождение Вены роман-хроника, 2005",73508003-72b5-431b-b3f3-822359bc927c.jsonl
e14995c6-0e95-477d-bf35-7dc480b93b1a,12308,1663,7346,,Unknown,Русский архив; Великая Отечественная. СССР и Польша,e14995c6-0e95-477d-bf35-7dc480b93b1a.jsonl
e14995c6-0e95-477d-bf35-7dc480b93b1a,25892,1663,7346,,Unknown,Русский архив; Великая Отечественная. СССР и Польша,e14995c6-0e95-477d-bf35-7dc480b93b1a.jsonl
89a3a928-94de-43ec-aa8c-e194f7fbc1b8,152,614,3383,,Самойлович Р. Л. S.O.S. в Арктике. Экспедиция Красина.,"Берлин Петрополис, 1930",89a3a928-94de-43ec-aa8c-e194f7fbc1b8.jsonl
30efff90-e653-4067-90bd-7411b0e95550,11278,703,1386,,Unknown,"Буманн-Ларсен Т. Руал Амундсен, 2005",30efff90-e653-4067-90bd-7411b0e95550.jsonl
91c67849-da64-43c7-affb-e9cb01d2b5c6,5597,575,2210,,Unknown,Ульфкотте У. Совершенно секретно; БНД,91c67849-da64-43c7-affb-e9cb01d2b5c6.jsonl
91c67849-da64-43c7-affb-e9cb01d2b5c6,11990,575,2210,,Unknown,Ульфкотте У. Совершенно секретно; БНД,91c67849-da64-43c7-affb-e9cb01d2b5c6.jsonl
